VEND;CNPJ;CLIENTE;DIA;TIPO;LATITUDE;LONGITUDE
marceloa;4,08E+13;REAL COMERCIO DE EQUIPA;09/06/2026;MANUTENCAO;-1,3737053;-48,41711
marceloa;4,08E+13;REAL COMERCIO DE EQUIPA;17/06/2026;MANUTENCAO;-1,3737053;-48,41711
marceloa;5,44E+13;T D L COMERCIO LTDA;23/06/2026;MANUTENCAO;-1,3226209;-48,3851562
marceloa;1,30E+13;TAMARA S SA MOVEIS, POR;12/06/2026;MANUTENCAO;-1,3190065;-48,4361149
roxanne;2,01E+13;BRASLUM IMPORTADORA LTD;18/06/2026;MANUTENCAO;-1,3597954;-48,4211941
roxanne;8,30E+11;CASA BELA MOVEIS E DECO;03/06/2026;MANUTENCAO;-1,4412187;-48,4843971
roxanne;1,88E+13;CHRIS HOME COMERCIO EIR;03/06/2026;MANUTENCAO;-1,4545165;-48,4745218
roxanne;5,57E+13;DIFARMA DISTRIBUIDORA D;03/06/2026;NEGOCIACAO;-1,4521;-48,4914
roxanne;5,81E+13;FIBRA FORTE LTDA;18/06/2026;MANUTENCAO;-1,3621;-48,337
roxanne;1,18E+13;J CAMPOS LTDA;18/06/2026;MANUTENCAO;-1,3737088;-48,4232023
roxanne;2,24E+13;KAATECH FOOD MACHINES C;03/06/2026;MANUTENCAO;-1,2814;-48,4556
roxanne;5,14E+13;LA CASA MOVEIS E DECORA;01/06/2026;MANUTENCAO;-1,3919;-48,4211
roxanne;7,15E+12;MARCONORTE COMERCIO DE;12/06/2026;MANUTENCAO;-1,4332032;-48,4523502
roxanne;3,01E+12;NOVA ROCHA INDUSTRIA DE;01/06/2026;NEGOCIACAO;-1,3647;-48,2523
roxanne;1,66E+13;PARAMED DISTRIBUIDORA D;03/06/2026;MANUTENCAO;-1,4014836;-48,4254605
roxanne;1,67E+12;RUTH H Q DA SILVA - ME;12/06/2026;MANUTENCAO;-1,347113;-48,3961189
roxanne;8,39E+12;SILVA E DELGADO LTDA ME;05/06/2026;NEGOCIACAO;-1,4182401;-48,4658142
roxanne;3,49E+13;STADIUM MAGAZINE LTDA E;03/06/2026;MANUTENCAO;-1,4507413;-48,5015029
roxanne;3,41E+13;SUPERMEDICAL LTDA;03/06/2026;MANUTENCAO;-1,4476232;-48,4745308
roxanne;3,42E+13;SUPERMIX CONCRETO S/A;03/06/2026;NEGOCIACAO;-1,4748299;-48,463266
roxanne;3,42E+13;SUPERMIX CONCRETO S/A;25/06/2026;MANUTENCAO;-1,4748299;-48,463266
roxanne;1,17E+13;VITOR AUTO IMPORTS LTDA;05/06/2026;MANUTENCAO;-1,4169274;-48,4649002
roxanne;2,88E+13;W CONSTRUCAO E INCORPOR;03/06/2026;NEGOCIACAO;-1,4397056;-48,4911734
roxanne;5,29E+13;WFR2 DISTRIBUIDORA E RE;03/06/2026;MANUTENCAO;-1,4513921;-48,4712882
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
